Sample_ID	Site	Depth	Ecosite
ASCC53_T3B_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC56_C2_2_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC57_T1C_6_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC58_T1C_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC59_T4C_6_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC6_T4C_6_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC60_T4C_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC61_T4C_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC62_T3C_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC63_TIC_3_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC64_T2A_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC65_T2A_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC66_T3B_2_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC67_T2A_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC68_T4C_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC69_C2_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC7_T1C_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC70_T4B_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC71_TIB_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC72_T4C_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC74_C1_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC75_T2B_6_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC76_C1_2_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC_77_C4_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC78_C4_3_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC79_T2A_3_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC8_C3_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC80_T4B_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC81_T3A_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC82_T2C_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC83_T4B_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC84_C1_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC85_C3_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC86_T1A_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC87_T4B_5_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC88_T1A_2_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC89_T2C_7_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC9_T2C_5_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC90_T1B_4_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC91_T1B_4_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC92_T1C_6_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC93_T4B_3_0923_SJ_1C_5	SJ	0_5cm	SJ_5
ASCC94_T4B_3_0923_SJ_1C_15	SJ	5_15cm	SJ_15
ASCC85_14_97_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC96_16_111_0923_TP_1C_5	TP	0_5cm	TP_5
ASCC98_16_110_0923_TP_1C_15	TP	5_15cm	TP_15
ASCC99_10_68_0923_TP_1C_15	TP	5_15cm	TP_15
