taxa,OTUID,Site,Depth,presence
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,2e162e4e342d2e194386151351ed8a42,TP,5,0.36666667
Fungi; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; ; ,72c8401fff71a78b00b765b8085a3667,TP,5,0.36666667
Fungi; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; ; ,a5b1630da4b1e5b9d1cd572028986d79,TP,5,0.36666667
Fungi; Mortierellomycota; Mortierellomycetes; Mortierellales; Mortierellaceae; Linnemannia; Linnemannia_amoeboidea,a65ab1c5c0faea08741b287e8e9b06cb,TP,5,0.33333333
Fungi; Basidiomycota; ; ; ; ; ,f668bb0e282e6cf158674f93677d748a,TP,5,0.33333333
Fungi; Basidiomycota; Agaricomycetes; Atheliales; Pilodermataceae; Piloderma; Piloderma_sp,678c9372b82708f68e88652ea5a89554,TP,5,0.3
Fungi; Basidiomycota; Agaricomycetes; Agaricales; Tricholomataceae; Tricholoma; Tricholoma_saponaceum,6fbdd1c4efe2dff720c37ee8edc0394f,TP,5,0.3
Fungi; Ascomycota; Leotiomycetes; Helotiales; Mollisiaceae; Phialocephala; Phialocephala_helvetica,b593d2d0293b1803c12d12f16f7d31e4,TP,5,0.3
Fungi; Basidiomycota; Microbotryomycetes; Microbotryales; unidentified; unidentified; Microbotryales_sp,72ca0a899d71f7d9023e44474c260434,SJ,5,0.88372093
Fungi; Basidiomycota; Microbotryomycetes; Microbotryales; unidentified; unidentified; Microbotryales_sp,60f64fade87eb41933e5332783af8e22,SJ,5,0.86046512
Fungi; Ascomycota; Eurotiomycetes; Chaetothyriales; Herpotrichiellaceae; Exophiala; Exophiala_radicis,2be07a8d72925262126f2a02c52dddea,SJ,5,0.8372093
Fungi; Basidiomycota; Tremellomycetes; Filobasidiales; Piskurozymaceae; Solicoccozyma; Solicoccozyma_aeria,cc116080ed11666e003af169a31bf77b,SJ,5,0.8372093
Fungi; Ascomycota; Leotiomycetes; Helotiales; Mollisiaceae; Phialocephala; Phialocephala_helvetica,b593d2d0293b1803c12d12f16f7d31e4,SJ,5,0.76744186
Fungi; Mortierellomycota; Mortierellomycetes; Mortierellales; Mortierellaceae; Linnemannia; Linnemannia_amoeboidea,a65ab1c5c0faea08741b287e8e9b06cb,SJ,5,0.74418605
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,600c14bbab2e89a35844eeeb19248a9d,SJ,5,0.72093023
Fungi; Basidiomycota; Agaricomycetes; Polyporales; Ganodermataceae; Ganoderma; Ganoderma_applanatum,09b6b466c26a6ad4055737f2734a0eb1,SJ,5,0.65116279
Fungi; Ascomycota; Saccharomycetes; Saccharomycetales; unidentified; unidentified; Saccharomycetales_sp,daf3380c6379ff9ada580bfa3256c5c2,SJ,5,0.62790698
Fungi; Ascomycota; Pezizomycetes; Pezizales; Pyronemataceae; Wilcoxina; Wilcoxina_rehmii,b7f493d9ea0174a32872a5622d5a31ee,SJ,5,0.60465116
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,0344b85e0ef02775090f148b0affb546,SJ,5,0.46511628
Fungi; Mortierellomycota; Mortierellomycetes; Mortierellales; Mortierellaceae; Mortierella; ,8ee69fea40362a20da724565d1d9be78,SJ,5,0.46511628
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,d8509c4abcc59265d1b581c4fdbd9716,SJ,5,0.44186047
Fungi; Ascomycota; Leotiomycetes; Thelebolales; Pseudeurotiaceae; Pseudogymnoascus; Pseudogymnoascus_roseus,a2f68a959b643ec46fa34675bbe4d7a2,SJ,5,0.41860465
Fungi; Basidiomycota; Agaricomycetes; Russulales; Russulaceae; Russula; Russula_integriformis,094022a385ea523dc21a7a74f3a22bb8,SJ,5,0.39534884
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,1842b93d7b98f3df8bf1ff404d9b68e6,SJ,5,0.37209302
Fungi; Basidiomycota; Agaricomycetes; Thelephorales; Thelephoraceae; ; ,7cbd6d2acd585f6e317b323aedc6f888,SJ,5,0.37209302
Fungi; Ascomycota; Leotiomycetes; Helotiales; Ploettnerulaceae; Cadophora; Cadophora_ramosa,e350f906ad7f8611cb843c38719dd078,SJ,5,0.37209302
Fungi; Basidiomycota; Agaricomycetes; Cantharellales; Hydnaceae; Clavulina; ,283bb4bd7843bdf04b06a325bb58a879,SJ,5,0.3255814
Fungi; Ascomycota; ; ; ; ; ,a4b6e0085a8b2761b470491ad2bfad0c,SJ,5,0.3255814
Fungi; Basidiomycota; Geminibasidiomycetes; Geminibasidiales; Geminibasidiaceae; Geminibasidium; Geminibasidium_sp,449650c62a5a2e07020b60f3828b4a96,SJ,5,0.30232558
