,OTUID,Site,Depth,presence
67,8ee69fea40362a20da724565d1d9be78,SJ,15,0.555555556
68,daf3380c6379ff9ada580bfa3256c5c2,SJ,15,0.488888889
69,d8509c4abcc59265d1b581c4fdbd9716,SJ,15,0.466666667
70,0344b85e0ef02775090f148b0affb546,SJ,15,0.444444444
71,094022a385ea523dc21a7a74f3a22bb8,SJ,15,0.444444444
72,e350f906ad7f8611cb843c38719dd078,SJ,15,0.4
73,1842b93d7b98f3df8bf1ff404d9b68e6,SJ,15,0.377777778
74,468e0bb7afec58c937a859c75f689fca,SJ,15,0.355555556
75,c19bce37dbc63315f65b4db2cd288d92,SJ,15,0.355555556
76,71b16d2e0baa55aa5d5defa1cc2af1c8,SJ,15,0.333333333
77,8899a95760511f490e14d6b8dab65eee,SJ,15,0.333333333
78,a4b6e0085a8b2761b470491ad2bfad0c,SJ,15,0.333333333
79,e0f5741f542ce2ef92c34c9a84789634,SJ,15,0.333333333
80,449650c62a5a2e07020b60f3828b4a96,SJ,15,0.311111111
81,d0667017b9b23c61160f472f77d9b814,SJ,15,0.311111111
82,e10bec8719dea6fa33ca2c8ab9f029a4,SJ,15,0.311111111
