feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.6	Site	SJ	-1.13130338502301	0.243081581550945	74	11	1.44556774769612e-05	9.61018464679484e-05
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp	Site	SJ	-2.13160763269824	0.469752895392237	74	15	2.22406714135494e-05	0.000136344985622194
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.3	Site	SJ	-1.16859815695363	0.270072865637618	74	9	4.79054699666801e-05	0.000281444636054245
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...1	Site	SJ	2.6847405772352	0.630046535331537	74	24	6.06453809307204e-05	0.000328884565816599
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma..s__Piloderma_lanatum	Site	SJ	-1.33344284363068	0.312779470359643	74	8	6.02082058245153e-05	0.000328884565816599
k__Fungi.............9	Site	SJ	-1.4496442333691	0.344769420446801	74	8	7.41483798306838e-05	0.000387219316893571
k__Fungi.............2	Site	SJ	-0.794964460785135	0.190510235096422	74	9	8.29975370589371e-05	0.00041795188304679
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Clavariaceae....	Site	SJ	-1.02648158398982	0.246778152184028	74	8	8.69813071654752e-05	0.00042290911414938
k__Fungi.............7	Site	SJ	-1.20615585507431	0.294741652182206	74	9	0.000110157994706933	0.000517742575122584
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__unidentified..g__unidentified..s__Chaetothyriales_sp.1	Site	SJ	-0.951810723791526	0.234827371248012	74	8	0.000126209495030552	0.000574049638687349
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__unidentified..g__unidentified..s__Filobasidiales_sp	Site	SJ	-0.911711388489668	0.232889889562864	74	8	0.000203372278711959	0.00087212671564802
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Mycenaceae..g__Mycena..s__Mycena_flavoalba	Site	SJ	-1.15264026795651	0.294513713199454	74	8	0.000204114763236771	0.00087212671564802
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..	Site	SJ	1.29273348254161	0.332354180865364	74	22	0.00022156529660428	0.00091884431827069
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.4	Site	SJ	2.34005124994281	0.611406567512435	74	20	0.000273596670612988	0.00110220373018375
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora..s__Cladophialophora_humicola.1	Site	SJ	-1.67989797090895	0.46442725856997	74	15	0.000549486222407289	0.00215215437109521
k__Fungi..p__Ascomycota..........	Site	SJ	1.28157776394964	0.355715841398409	74	20	0.000575757128197873	0.00219410148853784
k__Fungi..p__Ascomycota..c__Saccharomycetes..o__Saccharomycetales..f__unidentified..g__unidentified..s__Saccharomycetales_sp	Site	SJ	2.61505666631033	0.748604818946895	74	27	0.000819994142076925	0.00304260984296964
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Leucosporidiales..f__Leucosporidiaceae..g__Leucosporidium..s__Leucosporidium_krtinense	Site	SJ	1.48121383403228	0.426668244745908	74	19	0.000878687560513869	0.00317679348801168
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Cantharellales..f__Hydnaceae..g__Sistotrema..s__Sistotrema_sp	Site	SJ	-1.39114957572717	0.401659081841393	74	8	0.000901567555837286	0.00317802563432643
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Paracladophialophoraceae..g__Paracladophialophora..s__Paracladophialophora_sp	Site	SJ	1.47564764329914	0.435773187175945	74	18	0.00115081599635436	0.00395768428014547
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Leucopaxillus..s__Leucopaxillus_laterarius	Site	SJ	1.68025626214497	0.520822406134814	74	23	0.00188861530819268	0.00634035139178971
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae....	Site	SJ	-1.24241155188399	0.387987781352182	74	11	0.0020314106067714	0.00666113710592482
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Lycoperdaceae..g__Bovista..s__Bovista_promontorii	Site	SJ	1.44077089584019	0.469715418042018	74	15	0.00304215780010777	0.00954276011987113
k__Fungi.............8	Site	SJ	-0.804926686333762	0.262451958094251	74	9	0.0030455617403844	0.00954276011987113
k__Fungi..p__Basidiomycota...........2	Site	SJ	1.10805143706029	0.372612836522982	74	16	0.00400045080888289	0.0122622513924454
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales.......2	Site	SJ	0.922178456113482	0.321200791275644	74	14	0.00536928291070812	0.0161078487321244
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.2	Site	SJ	1.26630820012031	0.444628161640313	74	15	0.0057301931843134	0.0168324424789206
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.1	Site	SJ	1.54737159408334	0.545054179965089	74	17	0.00587868103039304	0.0169162045976616
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Cantharellales..f__Ceratobasidiaceae..g__unidentified..s__Ceratobasidiaceae_sp	Site	SJ	-0.899655467616357	0.321977022481888	74	11	0.0066635392018594	0.0187911805492435
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Pseudeurotiaceae..g__Pseudogymnoascus..s__Pseudogymnoascus_roseus	Site	SJ	-0.527944645104699	0.190694549927692	74	8	0.00715493549720397	0.0197812922569757
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..s__Phialocephala_helvetica	Site	SJ	-1.21749024488381	0.440996520117331	74	16	0.00731026836472148	0.0198220738351102
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp	Site	SJ	1.76584384791912	0.656577111500345	74	43	0.00888781272086685	0.0234820757623684
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_xenobiotica	Site	SJ	1.24406142169276	0.463314881287388	74	22	0.00899313539835384	0.0234820757623684
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Pyrenochaeta..s__Pyrenochaeta_sp.1	Site	SJ	1.00312745611876	0.377509479704441	74	13	0.0096984197776226	0.0248632216117234
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.2	Site	SJ	0.968653124106071	0.371229796973529	74	13	0.0110276607951726	0.0272789503880585
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Parafenestella..s__Parafenestella_austriaca	Site	SJ	0.958116467107547	0.366644906974132	74	13	0.0109138431394842	0.0272789503880585
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..	Site	SJ	0.733785721882913	0.293372652083128	74	18	0.0146522799079982	0.0356201977073749
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Didymosphaeriaceae..g__Paraphaeosphaeria..	Site	SJ	1.18174320733048	0.474819427625477	74	12	0.0151294578657605	0.0360811876718629
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...6	Site	SJ	0.697193079064603	0.280771933984879	74	12	0.0153536968816438	0.0360811876718629
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Cantharellula..s__Cantharellula_sp	Site	SJ	1.58170317347519	0.641982962642962	74	19	0.0161378766413856	0.0373023050235308
k__Fungi.............4	Site	SJ	0.787358849936392	0.321422601638419	74	12	0.0167347148083051	0.0380579804511455
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Cantharellales..f__Hydnaceae..g__Bergerella..s__Bergerella_atrofusca.2	Site	SJ	0.643041043302389	0.269103517056501	74	11	0.0194886143212342	0.0436173749094289
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Pyronemataceae..g__Wilcoxina..s__Wilcoxina_rehmii.1	Site	SJ	-0.758774267130875	0.321425679464739	74	11	0.0209538358503099	0.0443305497972917
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella...1	Site	SJ	0.88251049778092	0.377255521323543	74	11	0.0220984005307741	0.0443305497972917
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.7	Site	SJ	0.977613732674238	0.415025087269499	74	11	0.0212221467976182	0.0443305497972917
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Pezizomycotina_fam_Incertae_sedis....	Site	SJ	0.77817449663995	0.332323954398988	74	10	0.0219712908155434	0.0443305497972917
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Albatrellaceae..g__Leucophleps..s__Leucophleps_spinispora	Site	SJ	0.442282081524972	0.187980640294553	74	10	0.0213679481317404	0.0443305497972917
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Dothideales..f__Dothideaceae..g__Celosporium..s__Celosporium_sp	Site	SJ	0.747396145023383	0.319866315702746	74	14	0.0222470667064977	0.0443305497972917
k__Fungi.............11	Site	SJ	0.621230113507694	0.263779095726042	74	10	0.0212453531941098	0.0443305497972917
k__Fungi..p__Ascomycota..c__Taphrinomycetes..o__Taphrinales..f__Taphrinaceae..g__Taphrina..s__Taphrina_sacchari	Site	SJ	0.448332045750445	0.191986688148859	74	11	0.0223224754298419	0.0443305497972917
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Mytilinidiales..f__Mytilinidiaceae..g__Mytilinidion..s__Mytilinidion_sp.5	Site	SJ	0.700928142264641	0.301680609577758	74	11	0.0229849031626526	0.0444100826730761
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_tsunedae	Site	SJ	1.0264168005117	0.441796728936286	74	10	0.0229924541498904	0.0444100826730761
k__Fungi.............6	Site	SJ	0.635647416347818	0.278620909495971	74	10	0.0254836555100104	0.048556694958263
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Pyrenochaeta..s__Pyrenochaeta_sp	Site	SJ	-1.29684287343029	0.570292094313421	74	22	0.0259484305874696	0.0487830495044429
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Didymosphaeriaceae..g__Paraphaeosphaeria..s__Paraphaeosphaeria_sporulosa	Site	SJ	0.864321557051939	0.38174129789401	74	11	0.0265774731659961	0.0493082067948085
k__Fungi..p__Basidiomycota...........1	Site	SJ	0.437329151868775	0.194906384674593	74	9	0.027921832390996	0.0511295891835122
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae....	Site	SJ	0.695777306543841	0.312827319886677	74	10	0.029274206709193	0.0529187582820028
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.4	Site	SJ	0.823966161618853	0.372424341003374	74	10	0.0301085553754567	0.0537380545308784
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Russulales..f__Russulaceae..g__Russula..s__Russula_integriformis	Site	SJ	0.708384673739609	0.325588416562404	74	9	0.032860544720187	0.0579167100693296
k__Fungi.............13	Site	SJ	0.482260421770032	0.223332676966728	74	9	0.0341525375773878	0.0594507135606381
k__Fungi.............10	Site	SJ	0.559258727244023	0.259649347986603	74	9	0.0345961861563116	0.059488564000487
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Lycoperdaceae..g__Lycoperdon..s__Lycoperdon_pyriforme	Site	SJ	0.526875091072503	0.245776537622934	74	9	0.0354338076530974	0.0601947816757437
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...7	Site	SJ	0.632832560242	0.30330408416534	74	9	0.0404791581814772	0.067947158376051
k__Fungi..p__Mortierellomycota..c__Mortierellomycetes..o__Mortierellales..f__Mortierellaceae..g__Mortierella..s__Mortierella_globalpina	Site	SJ	0.494721343203426	0.239362410576124	74	9	0.0423469789606059	0.070246165099358
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales......	Site	SJ	-1.05690736435117	0.519934538731244	74	13	0.045764142016342	0.0716971558256025
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Radulomycetaceae..g__Aphanobasidium..s__Aphanobasidium_sp	Site	SJ	0.868095304300108	0.423475777881379	74	13	0.0440140391283089	0.0716971558256025
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Chaetothyriales_fam_Incertae_sedis..g__Sarcinomyces..s__Sarcinomyces_crustaceus	Site	SJ	0.708736196643943	0.348370684669695	74	28	0.0455921375863245	0.0716971558256025
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Exophiala..s__Exophiala_moniliae	Site	SJ	0.52155188969567	0.255419087492449	74	10	0.0448209893448279	0.0716971558256025
k__Fungi.............12	Site	SJ	0.278992707055669	0.137117669820395	74	8	0.0455648229753098	0.0716971558256025
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__Chaetosphaeronema..s__Chaetosphaeronema_sp	Site	SJ	0.519768166131999	0.257237690871771	74	10	0.0470440001187876	0.0728923518324072
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae..g__Tomentella..s__Tomentella_ferruginea	Site	SJ	0.988032983655291	0.491042212377683	74	8	0.0479499982313461	0.0734885842458674
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp	Site	SJ	1.22790563380032	0.619979106839674	74	26	0.0514618578097295	0.0780228166792673
k__Fungi..p__Basidiomycota..c__Geminibasidiomycetes..o__Geminibasidiales..f__Geminibasidiaceae..g__Geminibasidium..s__Geminibasidium_sp.3	Site	SJ	0.538270902032272	0.275218379785658	74	11	0.054369792678422	0.081554689017633
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Tricholoma..s__Tricholoma_triste	Site	SJ	-0.881300452737323	0.452193915021021	74	8	0.0551986972071793	0.081777692088136
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Sclerotiniaceae..g__Clarireedia..s__Clarireedia_bennettii	Site	SJ	0.905254120430799	0.46542199168485	74	8	0.0556784286557521	0.081777692088136
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Tuberaceae..g__Tuber..s__Tuber_pseudoseparans	Site	SJ	0.571308699416918	0.294948774380413	74	8	0.056672253591526	0.0820278694865674
k__Fungi.............5	Site	SJ	-0.417366632766085	0.216142668934405	74	8	0.0574233284688937	0.0820278694865674
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Capronia..s__Capronia_capucina	Site	SJ	0.300798772417009	0.155884700400363	74	8	0.0575940360224835	0.0820278694865674
k__Fungi..p__Ascomycota...........1	Site	SJ	-0.495776945610456	0.261388105361486	74	15	0.0618780612384422	0.0872480663462035
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Clavariaceae..g__Clavulinopsis..s__Clavulinopsis_sp	Site	SJ	-0.407080732445261	0.218806828950324	74	8	0.066904713722128	0.0934016300477233
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_peltigerae.2	Site	SJ	0.489242284635563	0.266570118806893	74	11	0.0705878216578796	0.09757728288001
k__Fungi.............3	Site	SJ	0.605356924174303	0.334987203246096	74	8	0.0749236911853103	0.102565441331347
k__Fungi..p__Ascomycota...........2	Site	SJ	0.731909463429247	0.412864254361764	74	11	0.0804981278684493	0.109136884898571
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Strophariaceae..g__Galerina..s__Galerina_acris	Site	SJ	-0.610137820202652	0.351208904599534	74	8	0.0866191158482642	0.116317098424812
k__Fungi..p__Basidiomycota..c__Tremellomycetes..o__Filobasidiales..f__Piskurozymaceae..g__Piskurozyma..s__Piskurozyma_silvicola	Site	SJ	0.426192687512078	0.246518031719343	74	8	0.0881219347250183	0.117218799964411
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Pilodermataceae..g__Piloderma...1	Site	SJ	-0.581458100350708	0.342937961054593	74	8	0.0942974853534734	0.124261172288222
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Cantharellales..f__Hydnaceae..g__Bergerella..s__Bergerella_atrofusca.1	Site	SJ	0.554391133037998	0.32811743056063	74	12	0.0954282376041066	0.124586865760917
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...2	Site	SJ	-0.82341247044717	0.499594375399601	74	13	0.103676804229442	0.134114031159186
k__Fungi..p__Ascomycota..c__Orbiliomycetes..o__Orbiliales..f__Orbiliaceae..g__unidentified..s__Orbiliaceae_sp	Site	SJ	0.607965190323669	0.380086189224934	74	10	0.114078731048551	0.146228191616779
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...5	Site	SJ	0.32432615655873	0.203781181458869	74	16	0.115869165971715	0.147185156774882
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Cortinariaceae....	Site	SJ	-0.717966153071669	0.458691323456142	74	11	0.121909410780182	0.153475240357193
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Neophaeosphaeriaceae..g__unidentified..s__Neophaeosphaeriaceae_sp	Site	SJ	0.374753323069091	0.241219385589831	74	9	0.124669807837288	0.155561441637677
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Pyronemataceae..g__Wilcoxina..s__Wilcoxina_rehmii	Site	SJ	1.13073011661292	0.744909848267536	74	36	0.133407861800464	0.164162200044103
k__Fungi..p__Basidiomycota..........	Site	SJ	-0.348382905087137	0.22980012064596	74	8	0.133891156064339	0.164162200044103
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Cucurbitariaceae..g__Pyrenochaeta..s__Pyrenochaeta_sp.2	Site	SJ	0.400656361693315	0.266430863794722	74	10	0.137009166260299	0.165754744308612
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Pleosporales..f__Phaeosphaeriaceae..g__Didymocyrtis..s__Didymocyrtis_pseudeverniae	Site	SJ	0.433494245470877	0.28866409426889	74	8	0.137541170809274	0.165754744308612
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Trichomeriaceae..g__Knufia..s__Knufia_peltigerae.1	Site	SJ	-0.855920547497336	0.574480481543076	74	21	0.140617382875288	0.168025855808606
k__Fungi..p__Ascomycota..c__Taphrinomycetes..o__Taphrinales..f__Taphrinaceae..g__Taphrina..s__Taphrina_gei.montani	Site	SJ	-0.437963886835092	0.302087669354087	74	11	0.151459037414153	0.179459867860467
k__Fungi..p__Ascomycota..c__Eurotiomycetes..o__Chaetothyriales..f__Herpotrichiellaceae..g__Cladophialophora...4	Site	SJ	-0.661631541525574	0.460934404959103	74	17	0.155499396756538	0.182711791188932
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Cantharellales..f__Hydnaceae..g__Bergerella..s__Bergerella_atrofusca	Site	SJ	0.404426959307772	0.30033381656441	74	10	0.182335624038686	0.212473743714502
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Thelebolales..f__Pseudeurotiaceae..g__Pseudogymnoascus..s__Pseudogymnoascus_appendiculatus	Site	SJ	-0.347952116719897	0.26270111143608	74	10	0.189520295541936	0.219035751405024
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Thelephorales..f__Thelephoraceae....	Site	SJ	0.465623587886014	0.360562354379	74	11	0.200701928763716	0.230072942729138
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Tricholomataceae..g__Cantharellula..s__Cantharellula_sp.1	Site	SJ	0.772128905294798	0.608916037497447	74	10	0.208869383060306	0.23750470170567
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Atheliales..f__Atheliaceae..g__Athelia..s__Athelia_arachnoidea	Site	SJ	-0.788542691784535	0.638061584942416	74	10	0.220534581656863	0.247642904868162
k__Fungi..p__Ascomycota..c__Dothideomycetes..o__Venturiales..f__Sympoventuriaceae..g__Ochroconis..s__Ochroconis_sp	Site	SJ	0.422102568881998	0.3421219304107	74	14	0.22129791498857	0.247642904868162
k__Fungi..p__Basidiomycota..c__Microbotryomycetes..o__Microbotryales..f__unidentified..g__unidentified..s__Microbotryales_sp.1	Site	SJ	0.844968979879599	0.699400993551789	74	52	0.23094957000207	0.256408577718834
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Mycenaceae..g__Mycena..	Site	SJ	0.68351098621035	0.58994148921454	74	16	0.250444440165365	0.27588020361966
k__Fungi..p__Basidiomycota..c__Agaricomycetes..o__Agaricales..f__Lyophyllaceae..g__Lyophyllum..s__Lyophyllum_sp	Site	SJ	0.564684699752165	0.499767314642519	74	16	0.262270533655259	0.286667792599934
k__Fungi..p__Ascomycota..c__Leotiomycetes..o__Helotiales..f__Mollisiaceae..g__Phialocephala..	Site	SJ	-0.495284679557365	0.461919079635399	74	13	0.287196415186432	0.311497650317592
k__Fungi..p__Ascomycota..c__Pezizomycetes..o__Pezizales..f__Sarcosomataceae..g__Plectania..s__Plectania_melastoma	Site	SJ	0.467763078940885	0.463728680251591	74	13	0.316496523950924	0.340656563947178
