OTU	Kingdom	Phylum	Order	Class	Family	Genus	Species	taxon	guild
1bdc4e55a80d5c17f566752d7b02675e	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae			Mortierellaceae	Undefined
4bb250ba1054bc7b47a82b5448f7c1f4	Fungi	Basidiomycota	Agaricomycetes	Boletales	Boletaceae	Boletus	Boletus_barrowsii	Boletus	na
59224fee9edd0efb9fe4c0a6914cc976	Fungi	Ascomycota	Leotiomycetes	Helotiales				na	na
d3d37262ccd1d8e5beac182d4fa84425	Fungi	Ascomycota	Dothideomycetes	Mytilinidiales	Mytilinidiaceae	Mytilinidion	Mytilinidion_sp	Mytilinidion	Undefined
888ba76060fb4dec9f76eedbe2d1259b	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Podila	Podila_humilis	Mortierellaceae	Undefined
3a9c25501baa80303e6e410cd132c009	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_amoeboidea	Mortierellaceae	Undefined
f2fe9a70d1ff8f74149c4f27a9dfe5c8	Fungi	Ascomycota	Leotiomycetes					na	na
0204f919daebc26c98a77e88d1ae3825	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula_vesicatoria	Russula	Ectomycorrhizal
f222b84cb02aa99b55e5f7a41cdfe00b	Fungi	Ascomycota	Leotiomycetes					na	na
bc6706e9b8915e745f1ac653352a8079	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Septonema	Septonema_fasciculare	Septonema	na
56c72670c202da78f6d454e6fbdfbb43	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae			Mortierellaceae	Undefined
7b9b985874359e4e3a79617d238a9593	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Pleotrichocladium	Pleotrichocladium_opacum	Pleotrichocladium	Undefined
9b168c0a94eb71e49639fbb6dbd0ac78	Fungi	Ascomycota	Leotiomycetes					na	na
a61b70bda44464c0c7144d17013ebdc5	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetales_fam_Incertae_sedis	Candida	Candida_sojae	Candida	Undefined
9b2c7d2fe16c3dc0050cab8a23a9d6e0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Infundichalara	Infundichalara_microchona	Infundichalara	Undefined
085daf6dff69d45a392cfa5ec48ab094	Fungi	Ascomycota	Leotiomycetes					na	na
