OTU	guild	counts
e89b061dd217d787eac85deef45cc691	Undefined	0
4dd0b40f9e8bcc58ebafa66a28252c5d	Ectomycorrhizal	0
4333a694a94b24cff7672a1db3c86fb4	Undefined	0
4f85f7116a2958b3483ed419c13071c3	Ectomycorrhizal	0
f12c24edddba11f329d48870fea9198d	Ectomycorrhizal	0
17c37d2c4d21a0f3397abe8c01af3e84	Undefined	0
c2b88816e03580a4a95bfaafb9e1fa5c	Ectomycorrhizal	0
fb28fdca471db36c3212246c934e4719	Ectomycorrhizal	0
741566f993a379ff1b0d91286936e430	Ectomycorrhizal	0
aa81c8e662d1ae5c8e29b8ed2d178e31	Ectomycorrhizal	0
929a7e2a928cf57d5d70c90de3161d3a	Plant Saprotroph	0
2e6c28e868ee0ed299f436423565867f	Ectomycorrhizal-Plant Saprotroph-Wood Saprotroph	0
460fa20b1274e8aa1b9d99c01b41d134	Ectomycorrhizal	0
0e40080d1518cc11c86b7ae0f738241e	Ectomycorrhizal	0
b1383c58ff03f4c1d4f02c219b243623	Undefined	0
70c3fd24fcd21848fd13814df2ab7860	Undefined	0
c54a348f46b65a69855d83432e02dcbc	Ectomycorrhizal	0
ef5aace7f6776dae44dc1aaa22d74868	Ectomycorrhizal	0
f055d7a64b88bf5e707db23504bc37de	Undefined	0
20b9cfd1177e26c2078039767041d820	Undefined	0
ba7bcb056ecbcf6cbc2113ab415ee042	Ectomycorrhizal	0
88f2e789c3561383d9bfeac9c23e29e7	Ectomycorrhizal	0
0a4155ee422152b3f8912de49a1e6b8c	Undefined	0
85cab727b25aa7c5b0d9123e4f5293f5	Ectomycorrhizal	0
61d54f63b6fefe38ebaa95ca9a6bd7a5	Undefined	0
dd599d17647726b77725eef70b66e4a8	Ectomycorrhizal-Fungal Parasite	0
7108bb92e75a732996adc8ed544b87fc	Ectomycorrhizal	0
90bf5261e0dc9e32269e8295e03da293	Plant Saprotroph-Wood Saprotroph	0
c86b1338168042a012d2c09071f8cf5b	Undefined	0
42331681be2a6f01af697e6784bf6173	Ectomycorrhizal	0
2f5c6e3de584139f471e2717235ea08b	Ectomycorrhizal-Fungal Parasite-Plant Pathogen-Wood Saprotroph	0
