OTUID	taxonomy
e92a47ed368aa0c18dfaf2df555124ae	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe
625a77a74bc8d47c5fb476f6c0956610	k__Fungi; p__Basidiomycota; c__Agaricomycetes; ; ; 
34b0730606afd6e1e03d4a90b3a01639	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe; s__Hygrocybe_conica
7006e861aba15db9e8aa6a9b6e936f5f	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mytilinidiales; f__Mytilinidiaceae; g__Mytilinidion; s__Mytilinidion_sp
5dd7952b2ff1892d888d16c9b2f96f44	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_catalaunica
c4492815bf1271fdbcc6c97544ce2c59	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_lanatum
d217c4427371dc7b5e0fa43b36c85a3e	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mytilinidiales; f__Mytilinidiaceae; g__Mytilinidion; s__Mytilinidion_sp
3d886ea324db0ba3abbd9a451d80b0da	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella
697f868e0c4c2d4dc8aac7173b2956bf	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mytilinidiales; f__Mytilinidiaceae; g__Mytilinidion; s__Mytilinidion_sp
60ab8378a345d8b0b2c8e7bea5283483	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inosperma; s__Inosperma_acutofulvum
86cc35c1b19b24330dbdfa1dbd832bdc	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe
721ae666e988e268d08ac47d96b203dd	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; 
db46818c30d340337aea4c7394b25788	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus; s__Hygrophorus_chrysodon
95410caf089af3b161136a97f0fe06e1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrocybe; s__Hygrocybe_conica
6cb1bad1dc114990c61b1a4f134df1cc	k__Fungi; p__Basidiomycota; c__Agaricomycetes; ; ; 
7747357e60264c3524d3befaa96f2ee5	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
f60021b219446fef6d9a3bb2c7af04bd	k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Geminibasidium; s__Geminibasidium_sp
b140646c2659079b9047fafe5ad1ea56	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; ; 
ac3f74d8a34361185cefc89b76f8a1e4	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Hygrophoraceae; g__Hygrophorus; s__Hygrophorus_chrysodon
1b8127a6d253646c2ac6ea4108ce5522	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula
673d36cfa6ac557b3883147bb9fcdc1a	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_silvae-herbaceae
3d361c5d1f955ea3a324d524059a775a	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
30106c8d8ba33a03249e0a3a9ed27dc4	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; 
c937c07699eb1149e68ad8fb43c287f0	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Geopora; s__Geopora_tolucana
d9be5c07cb4ccf2b6514a97db7ba13d7	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__unidentified; s__Thelephoraceae_sp
86c545e3081721da9a4dbabf21ad461c	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Pilodermataceae; g__Piloderma; s__Piloderma_sp
230b90676e6cabed180469500ba25f34	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; 
b652f29176e6320fa735c83113064c14	k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Geminibasidium; s__Geminibasidium_sp
8d6914ce89357e01396faa02e1488a70	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_aurea
71b16d2e0baa55aa5d5defa1cc2af1c8	k__Fungi; p__Basidiomycota; c__Geminibasidiomycetes; o__Geminibasidiales; f__Geminibasidiaceae; g__Geminibasidium; s__Geminibasidium_sp
72d3ba5ec9c411f48b419f04f5dd9790	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Thelephorales; f__Thelephoraceae; g__Pseudotomentella; s__Pseudotomentella_sp
297a3173045fa0fce521ac58dcf6f75b	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Clavariaceae; 
8729bd9a24201d8e8525a6babfb9b2b0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Inocybaceae; g__Inocybe; s__Inocybe_silvae-herbaceae
53751a6ca87548839b2024bad1461ac5	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; s__Tricholoma_equestre
a7e7dfb3944945dd77ffc9f1b5977213	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Wilcoxina; s__Wilcoxina_rehmii
42e7f983b6c1ed69c323067932228ec4	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Floccularia; s__Floccularia_luteovirens
6e9b7ddc33e026c36a3f64bdad54ea90	k__Fungi; p__Ascomycota; c__Pezizomycetes; o__Pezizales; f__Pyronemataceae; g__Wilcoxina; s__Wilcoxina_rehmii
525a84a59dc0510d97ff52c7139f86e1	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula
30c855f5e93bdd3539325630130a7832	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__Russula_turci
